Scenario,fault,faultinf,Patient,init_bg,alert,alert_num,hazard_num,sub_TN,sub_FN,sub_TP,sub_FP,sub_TPR, sub_FPR,T2,T3,Reaction time(T3-t2),f1_micro,f1_macro,f1_weighted,Iteration_number,glucose_at_T3,prediction_rate,TN,FN,TP,FP
0,0,N/A,patientG,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientG,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,22,0,278,0,0,22,,0.07333333333333333,5.0,N/A,N/A,0, 0.48,0.96,300,0,0,0, 0,0,1
0,0,N/A,patientG,160,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientG,140,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,140,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,180,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,80,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,160,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientH,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,14,0,286,0,0,14,,0.04666666666666667,5.0,N/A,N/A,0, 0.49,0.98,300,0,0,0, 0,0,1
0,0,N/A,patientH,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,200,rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1||rule_1,16,0,284,0,0,16,,0.05333333333333334,5.0,N/A,N/A,0, 0.49,0.97,300,0,0,0, 0,0,1
0,0,N/A,patientE,160,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,180,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,120,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,140,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientE,80,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
0,0,N/A,patientB,100,N/A,0,0,300,0,0,0,,0.0,N/A,N/A,N/A,0, 1.00,1.00,300,0,0,1, 0,0,0
